"","PROBEID","SYMBOL","ENTREZID"
"423","230636_s_at","KLF9","687"
"424","224715_at","DYNC2I2","89891"
"425","212727_at","DLG3","1741"
"426","220351_at","ACKR4","51554"
"427","227140_at","INHBA","3624"
"428","228445_at","AIFM2","84883"
"429","203358_s_at","EZH2","2146"
"431","204755_x_at","HLF","3131"
"432","220326_s_at","ARHGEF40","55701"
"435","218625_at","NRN1","51299"
"436","214071_at","GNAL","2774"
"438","231015_at","KLF15","28999"
"439","203662_s_at","TMOD1","7111"
"441","210247_at","SYN2","6854"
"442","205709_s_at","CDS1","1040"
"443","205005_s_at","NMT2","9397"
"445","238081_at","WDFY3-AS2","404201"
"447","240452_at","GSPT1","2935"
"450","209616_s_at","CES1","1066"
"451","209616_s_at","CES1P1","51716"
"453","205960_at","PDK4","5166"
"454","204653_at","TFAP2A","7020"
"455","228501_at","GALNT15","117248"
"458","222380_s_at","PDCD6","10016"
"460","227113_at","ADHFE1","137872"
"462","224964_s_at","GNG2","54331"
"464","201690_s_at","TPD52","7163"
"465","207275_s_at","ACSL1","2180"
"466","231050_at","PLAAT5","117245"
"468","204392_at","CAMK1","8536"
"471","205969_at","AADAC","13"
"472","227000_at","MTURN","222166"
"476","226875_at","DOCK11","139818"
"478","225894_at","SYNPO2","171024"
"479","243501_at","ATP5PB","515"
"480","229241_at","LDHD","197257"
"482","223276_at","SMIM3","85027"
"483","223422_s_at","ARHGAP24","83478"
"484","206163_at","MAB21L1","4081"
"485","206163_at","MIR548F5","100302239"
"486","227699_at","L3HYPDH","112849"
"487","226663_at","ANKRD10","55608"
"488","226663_at","ANKRD10-IT1","100505494"
"489","229357_at","ADAMTS5","11096"
"490","232555_at","CREB5","9586"
"491","218186_at","RAB25","57111"
"493","226627_at","SEPTIN8","23176"
"494","229693_at","TMEM220","388335"
"495","228409_at","PLIN4","729359"
"496","205980_s_at","PRR5","55615"
"497","205980_s_at","ARHGAP8","23779"
"498","205980_s_at","PRR5-ARHGAP8","553158"
"501","203812_at","SLIT3","6586"
"502","238009_at","SOX5","6660"
"503","209542_x_at","IGF1","3479"
"504","214091_s_at","GPX3","2878"
"506","216333_x_at","TNXA","7146"
"507","204183_s_at","GRK3","157"
"508","202525_at","PRSS8","5652"
"509","209220_at","GPC3","2719"
"510","1554062_at","XG","7499"
"512","226303_at","PGM5","5239"
"513","218237_s_at","SLC38A1","81539"
"514","226751_at","CNRIP1","25927"
"515","219395_at","ESRP2","80004"
"517","224881_at","VKORC1L1","154807"
"518","229815_at","TMEM161B-DT","100505894"
"519","202947_s_at","GYPC","2995"
"520","228692_at","PREX2","80243"
"521","205530_at","ETFDH","2110"
"522","205792_at","CCN5","8839"
"523","218651_s_at","LARP6","55323"
"526","225380_at","PKDCC","91461"
"529","212001_at","SUGP2","10147"
"532","210168_at","C6","729"
"533","232298_at","MBNL1-AS1","401093"
"536","236657_at","CRIM1-DT","100288911"
"539","208051_s_at","PAIP1","10605"
"540","209164_s_at","CYB561","1534"
"541","230867_at","COL6A6","131873"
"542","219778_at","ZFPM2","23414"
"544","209686_at","S100B","6285"
"546","202366_at","ACADS","35"
"547","220661_s_at","ZNF692","55657"
"550","240869_at","KCNB1","3745"
"552","209008_x_at","KRT8","3856"
"553","203851_at","IGFBP6","3489"
"556","226152_at","TTC7B","145567"
"557","205913_at","PLIN1","5346"
"558","230332_at","ZCCHC7","84186"
"561","218039_at","NUSAP1","51203"
"562","206159_at","GDF10","2662"
"563","217047_s_at","FAM13A","10144"
"564","226955_at","AFAP1L1","134265"
"567","205222_at","EHHADH","1962"
"570","201596_x_at","KRT18","3875"
"571","219093_at","PID1","55022"
"572","204642_at","S1PR1","1901"
"573","201131_s_at","CDH1","999"
"574","200644_at","MARCKSL1","65108"
"575","224822_at","DLC1","10395"
"576","231947_at","MYCT1","80177"
"577","235141_at","MARVELD2","153562"
"578","228507_at","PDE3A","5139"
"582","235542_at","TET3","200424"
"583","207096_at","SAA4","6291"
"584","235198_at","OSTM1","28962"
"586","211778_s_at","OVOL2","58495"
"588","227312_at","SNTB2","6645"
"589","232165_at","EPPK1","83481"
"591","239093_at","HOGA1","112817"
"592","206170_at","ADRB2","154"
"594","228224_at","PRELP","5549"
"595","209182_s_at","DEPP1","11067"
"596","228268_at","FMO2","2327"
"598","221206_at","PMS2","5395"
"599","221206_at","PMS2CL","441194"
"602","226213_at","ERBB3","2065"
"603","209980_s_at","SHMT1","6470"
