"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203435_s_at",-4.29545056110237,5.01202280576033,-15.1861582688979,1.0150389915756e-29,4.62477140536632e-27,57.0475010948121
"1556579_s_at",-2.78903116907975,3.01186422590083,-15.1816789429773,1.03905809818209e-29,4.69508277009139e-27,57.0243891225369
"220065_at",-4.12490060581787,3.08966660478512,-15.1667914267733,1.1230653167312e-29,5.03308165510477e-27,56.9475575756655
"207317_s_at",-3.33519568143043,3.24213602089256,-15.1537969197466,1.20194765803896e-29,5.34280391896588e-27,56.8804748296749
"218711_s_at",-2.80570221789989,2.73573329219835,-15.1515588030029,1.21608512353297e-29,5.36205275235201e-27,56.8689188515521
"217504_at",-3.09828108548246,3.06738864380165,-15.110075688803,1.51055053652294e-29,6.60714804675132e-27,56.654627691392
"210831_s_at",-2.70019457914988,2.95157545068595,-15.0741004042682,1.8233498959312e-29,7.91203615555861e-27,56.4686306380069
"226286_at",-2.50159520789254,3.96951601605785,-15.0717782370072,1.84564443947359e-29,7.94571730143452e-27,56.4566196944785
"235129_at",-4.75506618004185,3.56310721339669,-15.0659213138985,1.90309865911149e-29,8.12905618647819e-27,56.4263232329374
"213644_at",-2.61922527547851,3.71486647736364,-15.055933159349,2.0052520740588e-29,8.49900443016784e-27,56.3746479731545
"229778_at",-5.03292261418665,3.25144145061157,-15.0344810143258,2.24365283367108e-29,9.43628605238204e-27,56.2636239949116
"215918_s_at",-4.63372265445305,3.51071765194215,-15.0315806461304,2.2779982579938e-29,9.50759959968025e-27,56.2486093813546
"211792_s_at",-3.15900605482862,4.96504516771901,-15.0033280323428,2.64145424546618e-29,1.0941023550823e-26,56.102301941357
"207302_at",-4.62648027054129,3.19150396342975,-14.9937197338449,2.77789429408717e-29,1.14196519194899e-26,56.0525245312949
"1552615_at",-2.55899099077149,5.09115860120661,-14.9812256590003,2.96595225643232e-29,1.21017492254058e-26,55.9877814112714
"239349_at",-3.42657110971549,2.97625349052066,-14.9737894741591,3.08389456008984e-29,1.24897729683638e-26,55.949239513293
"228890_at",-2.12370598912557,3.5723075602314,-14.9684884543575,3.17083616015543e-29,1.27474608129778e-26,55.9217604468828
"230438_at",-2.87274716396833,5.64408685406612,-14.9557123152329,3.39062557292962e-29,1.3531565927002e-26,55.8555194725865
"228104_at",-3.68986041778846,3.45112093655372,-14.9520995834473,3.45550556546722e-29,1.36905628110087e-26,55.8367850909765
"232331_at",-3.10226284649434,3.28205896887603,-14.9480112353846,3.53043171331476e-29,1.38867880521931e-26,55.8155825725149
"222317_at",-5.45056865512727,4.04314613002479,-14.946293593047,3.562395099498e-29,1.39124251475038e-26,55.8066741786017
"1560697_at",-2.5081002800509,2.68593838289256,-14.9366374256393,3.74756991546312e-29,1.45318003636841e-26,55.7565872392978
"231067_s_at",-3.49620276905373,3.09669931817355,-14.926343133564,3.95563866247289e-29,1.52306016810356e-26,55.7031788938029
"228802_at",-3.10723404935237,3.29985696159504,-14.9215628217275,4.05616403027935e-29,1.55084453395471e-26,55.6783739065472
"241764_at",-2.01399234939084,2.61330976223967,-14.86345635267,5.50403875871417e-29,2.08981471619929e-26,55.3766574760089
"226911_at",-2.8222755891793,3.9357123226281,-14.8478652058581,5.97418328593256e-29,2.25267911143698e-26,55.2956373111484
"235927_at",2.73080951968948,6.51434103115702,14.8377856076571,6.29938141243523e-29,2.35903204606093e-26,55.2432439238956
"1557832_at",-4.97104899575,3.2622082676281,-14.8320518850106,6.49223832195851e-29,2.41471517178967e-26,55.2134352509311
"209614_at",-5.33770648625848,4.10183294436364,-14.8138134783091,7.14600755245921e-29,2.63991866845073e-26,55.1185927701953
"239982_at",-2.16503226324378,3.64038109950413,-14.767573896174,9.11539776479173e-29,3.34486156234891e-26,54.8779765182933
"200671_s_at",-2.75211071360294,2.99676577965289,-14.7662891384059,9.17728525731845e-29,3.34512047629257e-26,54.8712877048127
"220357_s_at",-1.92940211683654,3.15282839184298,-14.7630783971401,9.33379898774435e-29,3.37963880566174e-26,54.8545708872856
"222161_at",-2.70328941558484,2.72303680409917,-14.753446476649,9.81958756725944e-29,3.5312845954113e-26,54.8044152689921
"227243_s_at",-3.54568007701244,3.2886241658843,-14.752247967548,9.88178405300282e-29,3.5312845954113e-26,54.79817364995
"1555854_at",-4.54529976536029,3.19829864167769,-14.7010183432771,1.29451577021464e-28,4.59595128158996e-26,54.531233014656
"1559901_s_at",-2.56615612291912,3.24346790469421,-14.6950948587467,1.33559516908213e-28,4.71120424964938e-26,54.5003493361952
"215039_at",-4.70884644214536,4.17009457199174,-14.6830787626183,1.42299098697821e-28,4.98730975724576e-26,54.4376885334898
"230003_at",-4.9053688662353,4.66329300058678,-14.6526918593389,1.67049074511244e-28,5.81745741968298e-26,54.2791592368152
"205610_at",-2.65439972213575,4.19284959828926,-14.6485833993249,1.70711683411426e-28,5.90738056362009e-26,54.2577176567222
"227178_at",-2.91100894196493,4.28632273059504,-14.5490432987763,2.88872411183017e-28,9.93339564869902e-26,53.7376768432159
"210964_s_at",-5.28952975067081,4.01302955661984,-14.5433413332593,2.97718312917932e-28,1.01735929742424e-25,53.7078553124145
"243225_at",-2.87181905125792,3.61253582183471,-14.5384681451522,3.05493651640322e-28,1.03744505611395e-25,53.6823655909064
"220213_at",-1.06069929360463,2.52886707103306,-14.479187665201,4.18109846683348e-28,1.4111207325563e-25,53.3720917723019
"1553583_a_at",-3.24423271080204,4.65266010485124,-14.4659572637774,4.48465534576273e-28,1.50428546643912e-25,53.3027933624288
"238613_at",-2.86878971902828,3.92353950346281,-14.4088460682098,6.07032462153534e-28,2.02374999196613e-25,53.003445077809
"242313_at",-2.00094448418439,2.78048418106612,-14.3742853854701,7.29203074204076e-28,2.41631382315805e-25,52.822130229078
"205289_at",-2.41473449863179,3.07179457253719,-14.3459046587023,8.4778197456678e-28,2.79231803972522e-25,52.6731446078313
"239272_at",-3.55221032056561,3.36662950133058,-14.3329643292971,9.08095695073923e-28,2.97306180408184e-25,52.6051863034174
"209840_s_at",-3.74139149840667,3.27938495247107,-14.3203927040006,9.70813115882953e-28,3.15947661374407e-25,52.5391478053642
"221104_s_at",-2.40100545961934,2.66033441565289,-14.3119387964903,1.01541491729685e-27,3.28507755048553e-25,52.4947304656583
